3617	1655	3087	3750	4855	7213	2699	1711	2462	9258	9831	2473	9568	1560	4875	4786	
8512	2439	6213	9221	9195	9472	3130	9510	8514	9068	2919	9170	1324	4522	2717	9454	
6016	9677	3883	4467	5760	5758	3621	3163	6730	3306	1115	1275	1752	9626	7852	9636	
5071	3083	3041	7511	5764	5146	1702	3309	6058	1486	1395	2488	3417	6169	1417	3770	
6176	8700	9839	9264	5731	1703	8188	3450	5487	7266	8559	2266	5882	3098	1131	2446	
9233	5875	6142	9708	7897	3622	5936	2545	6894	7496	9553	2461	7242	7767	6115	8751	
4029	8442	7847	6601	3850	8972	6131	4575	4603	1220	2737	5130	5195	8668	8779	6323	
7937	1235	8546	7086	3116	8817	4789	5629	6562	4815	9390	3789	5603	9433	9729	8361	
4418	1025	7807	4722	3371	2993	7183	6232	2007	4701	5603	7359	3373	2890	1056	1904	
2548	9319	3847	9779	9395	6591	3856	6502	3065	1319	4095	7125	1880	1266	5327	1558	
1811	4855	3730	5975	7513	8059	9818	8079	2610	6233	9730	7013	8238	3395	3310	9409	
1381	7963	2361	4613	3689	2594	5590	2632	2855	2116	4166	7407	5541	7615	8759	6880	
3285	4614	1397	9452	9783	6646	9218	4800	7806	9636	3122	3489	6648	5200	4674	1865	
5769	6907	1334	1890	2497	3568	4641	1350	6977	5250	2399	1641	6950	4786	7343	8068	
6644	1291	9332	6478	5811	3669	4747	9944	1303	4393	3286	1062	2617	1975	9607	6877	
5523	2530	6600	2749	3257	1373	3103	2829	6491	1125	3376	8190	7183	5482	2962	4837	
