8528	7575	7779	8972	1754	4027	1106	9347	5646	5842	1286	1025	5739	7093	8839	6864	6190	1328	8895	4078	5410	3687	7879	3393	2312	8851	5028	1974	7722	4256	2151	2030	1665	3470	4450	4950	5526	3458	7069	7513	4613	4449	4657	3452	6182	4625	6972	8262	9350	4435	5323	2009	6914	5440	3902	4849	9899	3855	5124	8168	6261	6449	8247	5436	
1313	2553	4459	1982	5755	2355	8928	1736	1926	7936	2032	3090	2722	3603	8810	3344	4904	2035	6875	4148	6404	1702	8766	1059	6401	9118	8419	9911	1395	1466	7019	4721	4502	2148	2764	6216	7124	5042	5863	7002	5267	4860	1911	3742	5196	1393	7580	8948	5088	9261	3085	4946	1837	8451	8645	1852	6878	3435	8388	9086	3753	5393	2854	3321	
6714	9506	1600	3424	7157	8371	9838	6277	8897	5663	4930	7973	9111	6069	7872	3909	4562	2020	9220	2272	9312	6404	6933	7558	7591	3691	3243	6914	5523	8136	1699	8200	4027	1927	2907	1569	5907	3618	3025	5884	7404	2176	3734	5011	2448	1564	8672	9967	7738	4493	2757	5001	6994	4877	6547	3447	9790	3961	1452	8175	6908	8924	6999	2618	
8435	5968	3586	9648	3082	3706	7835	9084	5048	7953	2470	2795	5819	4146	3600	1271	5492	8499	7987	1498	2791	3098	8738	9201	1760	6825	7444	5232	2633	6305	7141	6652	7000	2432	2576	5736	2733	8905	7513	4735	4786	1022	2990	5682	4643	5388	5734	3007	2916	7986	5842	7567	3970	5695	9384	3458	1297	3432	4982	2234	8949	5107	6299	6808	
5125	3916	9697	1182	7497	5777	9503	1226	4532	7827	4323	1348	4164	1708	8621	9637	3862	8319	5630	8588	6775	1800	9663	8757	6142	2881	9670	6408	8341	8086	4947	1972	5709	2079	2793	6134	8745	5735	3857	4010	9643	3813	1664	2940	8763	3038	8944	3308	6822	9869	2860	7588	9219	8385	8340	7591	1145	6121	7945	3943	9916	4422	8962	3163	
4678	9637	3637	9155	1234	5664	3530	2402	5508	7616	9769	1431	2348	4192	1380	9464	8953	6113	8975	5092	9986	7342	5787	2994	5743	3235	8082	6203	2071	9591	8508	9329	4435	5451	5248	4811	5311	4030	6719	3230	8833	8838	5387	7105	8170	8941	8101	5397	6081	7382	1067	5495	7215	7666	5479	6068	5573	1524	8397	8528	8673	1509	8797	6826	
8752	8204	1566	5703	2973	8422	4028	9154	8103	7901	3680	7581	5705	9913	4766	1527	3507	9768	7556	2330	4582	2979	7662	9191	9629	7102	1758	2425	2575	5995	1528	1058	9120	5533	2484	2950	9591	6980	8789	5186	2843	8601	1286	8640	1086	5311	6108	2091	8492	1332	9551	9649	6668	9147	5242	6369	3221	7112	1586	3050	3644	2271	6723	3510	
8649	8577	4045	7458	3378	1140	4638	1067	9879	5205	7825	1638	4357	6933	3524	6203	6534	6109	7823	1351	8381	4135	6264	7733	4223	2331	3036	1969	3421	4235	9176	4345	3014	2204	8597	5232	9058	4385	6226	1359	4825	1669	5987	2594	8873	6653	5087	4813	6694	1296	7648	1985	1204	6180	1444	5343	2425	8110	6448	8256	3350	2556	5547	4694	
9011	4787	4352	3539	3258	5961	9670	9700	5259	6870	1674	7297	7231	1436	3284	2660	4537	9896	9895	5027	5798	4428	9097	1980	6413	1402	4034	5884	5634	7895	7482	2755	1460	4057	6011	9104	9590	9126	3726	8949	4427	5307	5873	8543	7746	8590	1214	3308	7745	6713	8399	8744	8646	1444	4780	2878	4777	3421	9239	2096	2261	5214	6063	6740	
6765	4627	4497	7163	6987	6838	4630	5662	9579	1753	5477	7743	9647	5599	1456	8073	4788	4568	3644	9245	8185	6640	1914	4275	3623	9394	2226	5825	5060	1838	9840	9579	1066	7716	2646	2783	3357	4971	6089	4411	4945	9091	5080	1854	6873	1019	3119	1839	3660	4152	5786	2590	9978	6571	9172	3134	9117	2582	2208	3931	7219	6171	7646	6373	
2103	3008	8711	8513	9327	6267	7996	7777	9288	4749	5296	6487	4053	4022	2839	5179	4679	8182	7926	9718	8542	6867	4401	1571	2150	9164	1379	8297	7541	6457	7648	5351	1672	7068	2519	9589	2605	8464	4755	7074	3036	3956	6529	1399	3918	3228	9259	3784	2055	8229	1131	2458	2401	9203	2331	7038	5213	2865	8753	5992	7462	8851	5417	6924	
